Topics,Alpha,Eta,Coherence
8,0.006,0.01,0.3373369608229262
8,0.006,0.02,0.3295846579627341
8,0.006,0.03,0.3296132758440563
8,0.006,0.04,0.3287979555271514
8,0.006,0.05,0.3287979555271514
8,0.006,0.06,0.3287979555271514
8,0.006,0.07,0.3252122477208511
8,0.006,0.08,0.32862362273749957
8,0.006,0.09,0.3308046073682185
8,0.006,0.1,0.3308046073682185
8,0.007,0.01,0.3373369608229262
8,0.007,0.02,0.3295846579627341
8,0.007,0.03,0.3296132758440563
8,0.007,0.04,0.3287979555271514
8,0.007,0.05,0.3287979555271514
8,0.007,0.06,0.3287979555271514
8,0.007,0.07,0.3252122477208511
8,0.007,0.08,0.32862362273749957
8,0.007,0.09,0.3308046073682185
8,0.007,0.1,0.3308046073682185
8,0.008,0.01,0.3373369608229262
8,0.008,0.02,0.3295846579627341
8,0.008,0.03,0.3296132758440563
8,0.008,0.04,0.3287979555271514
8,0.008,0.05,0.3287979555271514
8,0.008,0.06,0.3287979555271514
8,0.008,0.07,0.3252122477208511
8,0.008,0.08,0.32862362273749957
8,0.008,0.09,0.3308046073682185
8,0.008,0.1,0.3308046073682185
8,0.009000000000000001,0.01,0.3373369608229262
8,0.009000000000000001,0.02,0.3295846579627341
8,0.009000000000000001,0.03,0.3296132758440563
8,0.009000000000000001,0.04,0.3287979555271514
8,0.009000000000000001,0.05,0.3287979555271514
8,0.009000000000000001,0.06,0.3287979555271514
8,0.009000000000000001,0.07,0.3252122477208511
8,0.009000000000000001,0.08,0.32862362273749957
8,0.009000000000000001,0.09,0.3308046073682185
8,0.009000000000000001,0.1,0.3308046073682185
8,0.01,0.01,0.3373369608229262
8,0.01,0.02,0.3295846579627341
8,0.01,0.03,0.3296132758440563
8,0.01,0.04,0.3287979555271514
8,0.01,0.05,0.3287979555271514
8,0.01,0.06,0.3287979555271514
8,0.01,0.07,0.3252122477208511
8,0.01,0.08,0.32862362273749957
8,0.01,0.09,0.3308046073682185
8,0.01,0.1,0.3308046073682185
9,0.001,0.01,0.3216758959280376
9,0.001,0.02,0.3202042986981541
9,0.001,0.03,0.31948520916882894
9,0.001,0.04,0.3234090951240318
9,0.001,0.05,0.3204550262173338
9,0.001,0.06,0.3153092125757879
9,0.001,0.07,0.3148065204138649
9,0.001,0.08,0.3148065204138649
9,0.001,0.09,0.3148065204138649
9,0.001,0.1,0.3148065204138649
9,0.002,0.01,0.3216758959280376
9,0.002,0.02,0.3202042986981541
9,0.002,0.03,0.31948520916882894
9,0.002,0.04,0.3234090951240318
9,0.002,0.05,0.3204550262173338
